Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Appetitesindia,"Mumbai, India",,4,Family,,"WrittenJuly 27, 2024",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Nilushen,"Colombo, Sri Lanka",,5,Friends,,"WrittenMay 26, 2024",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Travel Snappy,Sri Lanka,,5,Friends,,"WrittenMay 17, 2024",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,PRASANNA P,6contributions,,1,Family,,"WrittenSeptember 21, 2023",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Dashers2014,"Cambridge, United Kingdom",,5,Friends,,"WrittenMarch 20, 2023",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Pasan Mangala,"Colombo, Sri Lanka",,5,Missing,,"WrittenDecember 27, 2020",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,SEs,"London, United Kingdom",,4,Solo,,"WrittenNovember 30, 2020",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,TNA2002 🇱🇰 🇦🇪 🇬🇪 🇦🇿 🇴🇲 🇶🇦,"Abu Dhabi, United Arab Emirates",,2,Missing,,"WrittenMay 11, 2020",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,jkc,"Colombo, Sri Lanka",,4,Friends,,"WrittenDecember 8, 2019",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Travel Buddies,"Colombo, Sri Lanka",,4,Friends,,"WrittenSeptember 28, 2019",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Rajesh K K,"Bengaluru, India",,2,Missing,,"WrittenAugust 31, 2019",0.0,0.0
